2.81,220,5.62
7.14,220,8.00
2.72,220,5.44
3.87,220,7.74
1.90,220,3.80
7.82,220,8.00
7.02,220,8.00
5.50,220,8.00
9.15,220,8.00
4.87,220,8.00
8.08,220,8.00
5.58,220,8.00
9.13,220,8.00
0.14,220,0.28
2.00,220,4.00
5.47,220,8.00
0.80,220,1.60
4.37,220,8.00
5.31,220,8.00
0.00,220,0.00
1.78,220,3.56
3.45,220,6.90
6.13,220,8.00
3.53,220,7.06
4.61,220,8.00
1.76,220,3.52
6.39,220,8.00
0.02,220,0.04
9.69,220,8.00
5.33,220,8.00
6.37,220,8.00
5.55,220,8.00
7.80,220,8.00
2.06,220,4.12
7.79,220,8.00
2.24,220,4.48
9.71,220,8.00
1.11,220,2.22
8.38,220,8.00
2.33,220,4.66
1.83,220,3.66
5.94,220,8.00
9.20,220,8.00
1.14,220,2.28
4.15,220,8.00
8.43,220,8.00
5.68,220,8.00
8.21,220,8.00
1.75,220,3.50
2.16,220,4.32
4.93,220,8.00
5.75,220,8.00
1.26,220,2.52
3.97,220,7.94
4.39,220,8.00
7.53,220,8.00
1.98,220,3.96
1.66,220,3.32
2.04,220,4.08
11.72,220,8.00
4.64,220,8.00
4.71,220,8.00
3.77,220,7.54
9.33,220,8.00
1.83,220,3.66
2.15,220,4.30
1.58,220,3.16
9.29,220,8.00
1.27,220,2.54
8.49,220,8.00
5.39,220,8.00
3.47,220,6.94
6.48,220,8.00
4.11,220,8.00
1.85,220,3.70
8.79,220,8.00
0.13,220,0.26
1.44,220,2.88
5.96,220,8.00
3.42,220,6.84
1.89,220,3.78
1.98,220,3.96
5.26,220,8.00
0.39,220,0.78
6.05,220,8.00
1.99,220,3.98
1.58,220,3.16
3.99,220,7.98
4.35,220,8.00
6.71,220,8.00
2.58,220,5.16
7.37,220,8.00
5.77,220,8.00
3.97,220,7.94
3.65,220,7.30
4.38,220,8.00
8.06,220,8.00
8.05,220,8.00
1.10,220,2.20
6.65,220,8.00
